CHILD GENDER,CHILD DOB,CHILD ORDER,BIRTH CITY,BIRTH STATE,BIRTH DISTRICT,HEALTH CENTER,OFFICE LOCATION,PLURALITY OF PREGNANCY,BODY WEIGHT MEASURED,ATTENDANT TITLE,PRESENT AT REG,MOTHER DOB,MOTHER MARITAL STATUS,MOTHER OCCUPATION,MOTHER EDUCATION,MOTHER CITY,MOTHER DISTRICT,MOTHER STATE,FATHER DOB,FATHER MARITAL STATUS,FATHER OCCUPATION,FATHER EDUCATION,FATHER CITY,FATHER DISTRICT,FATHER STATE,INFORMANT DOB,INFORMANT MARITAL STATUS,INFORMANT OCCUPATION,INFORMANT EDUCATION,INFORMANT CITY,INFORMANT DISTRICT,INFORMANT STATE,INFORMANT RELATIONSHIP
CHILD GENDER,CHILD DOB,CHILD ORDER,BIRTH CITY,BIRTH STATE,BIRTH DISTRICT,HEALTH CENTER,OFFICE LOCATION,PLURALITY OF PREGNANCY,BODY WEIGHT MEASURED,ATTENDANT TITLE,PRESENT AT REG,MOTHER DOB,MOTHER MARITAL STATUS,MOTHER OCCUPATION,MOTHER EDUCATION,MOTHER CITY,MOTHER DISTRICT,MOTHER STATE,FATHER DOB,FATHER MARITAL STATUS,FATHER OCCUPATION,FATHER EDUCATION,FATHER CITY,FATHER DISTRICT,FATHER STATE,INFORMANT DOB,INFORMANT MARITAL STATUS,INFORMANT OCCUPATION,INFORMANT EDUCATION,INFORMANT CITY,INFORMANT DISTRICT,INFORMANT STATE,INFORMANT RELATIONSHIP
CHILD GENDER,CHILD DOB,CHILD ORDER,BIRTH CITY,BIRTH STATE,BIRTH DISTRICT,HEALTH CENTER,OFFICE LOCATION,PLURALITY OF PREGNANCY,BODY WEIGHT MEASURED,ATTENDANT TITLE,PRESENT AT REG,MOTHER DOB,MOTHER MARITAL STATUS,MOTHER OCCUPATION,MOTHER EDUCATION,MOTHER CITY,MOTHER DISTRICT,MOTHER STATE,FATHER DOB,FATHER MARITAL STATUS,FATHER OCCUPATION,FATHER EDUCATION,FATHER CITY,FATHER DISTRICT,FATHER STATE,INFORMANT DOB,INFORMANT MARITAL STATUS,INFORMANT OCCUPATION,INFORMANT EDUCATION,INFORMANT CITY,INFORMANT DISTRICT,INFORMANT STATE,INFORMANT RELATIONSHIP
CHILD GENDER,CHILD DOB,CHILD ORDER,BIRTH CITY,BIRTH STATE,BIRTH DISTRICT,HEALTH CENTER,OFFICE LOCATION,PLURALITY OF PREGNANCY,BODY WEIGHT MEASURED,ATTENDANT TITLE,PRESENT AT REG,MOTHER DOB,MOTHER MARITAL STATUS,MOTHER OCCUPATION,MOTHER EDUCATION,MOTHER CITY,MOTHER DISTRICT,MOTHER STATE,FATHER DOB,FATHER MARITAL STATUS,FATHER OCCUPATION,FATHER EDUCATION,FATHER CITY,FATHER DISTRICT,FATHER STATE,INFORMANT DOB,INFORMANT MARITAL STATUS,INFORMANT OCCUPATION,INFORMANT EDUCATION,INFORMANT CITY,INFORMANT DISTRICT,INFORMANT STATE,INFORMANT RELATIONSHIP
male,2022-08-28,5,,,,Kapopo Health Post,Ibombo District Office,SINGLE,1.5 kg,PHYSICIAN,,2002-08-28,MARRIED,Bookkeeper,PRIMARY_ISCED_1,New Ilahaven,Ibombo,Central,,,,,,,,2002-08-28,MARRIED,Bookkeeper,PRIMARY_ISCED_1,New Ilahaven,Ibombo,Central,MOTHER
male,2022-09-16,2,,,,Kaparu Rural Health Centre,Ibombo District Office,SINGLE,1.9 kg,PHYSICIAN,,2002-09-16,MARRIED,Bookkeeper,PRIMARY_ISCED_1,Gerlachfurt,Ibombo,Central,,,,,,,,2002-09-16,MARRIED,Bookkeeper,PRIMARY_ISCED_1,Gerlachfurt,Ibombo,Central,MOTHER
female,2006-09-19,2,,,,Musopelo Health Post,Ibombo District Office,SINGLE,4.4 kg,PHYSICIAN,MOTHER,1986-09-19,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Lake Jason,Ibombo,Central,1986-09-19,MARRIED,Bookkeeper,POST_SECONDARY_ISCED_4,Schambergerview,Ibombo,Central,1986-09-19,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Lake Jason,Ibombo,Central,MOTHER
female,2022-08-24,2,,,,Shimukuni Rural Health Centre,Ibombo District Office,SINGLE,4.4 kg,PHYSICIAN,MOTHER,2002-08-24,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Leuschkefurt,Ibombo,Central,2002-08-24,MARRIED,Bookkeeper,POST_SECONDARY_ISCED_4,Danafort,Ibombo,Central,2002-08-24,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Leuschkefurt,Ibombo,Central,MOTHER
female,2022-09-04,2,,,,Chitanda Rural Health Centre,Ibombo District Office,SINGLE,2.8 kg,PHYSICIAN,MOTHER,2002-09-04,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Lenexa,Ibombo,Central,2002-09-04,MARRIED,Bookkeeper,POST_SECONDARY_ISCED_4,East Lizethton,Ibombo,Central,2002-09-04,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Lenexa,Ibombo,Central,MOTHER
female,2022-09-01,2,,,,Mungule Rural Health Centre,Ibombo District Office,SINGLE,3.9 kg,PHYSICIAN,MOTHER,2002-09-01,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Adamsside,Ibombo,Central,2002-09-01,MARRIED,Bookkeeper,POST_SECONDARY_ISCED_4,Floshire,Ibombo,Central,2002-09-01,MARRIED,Farmer,POST_SECONDARY_ISCED_4,Adamsside,Ibombo,Central,MOTHER
