id,description,en,fr
integrations.revealKeys,Label for reveal keys option,Reveal Keys,Montrer clés de décodage
integrations.scopes,Heading for the scopes list in the client details dialog,Scopes,Autorisations
integrations.shaSecret,Label for SHA secret,SHA secret,SHA Secret
integrations.type,Labels for integration types,"{type, select, HEALTH {Health integration} NATIONAL_ID {National ID} RECORD_SEARCH {Record search} other {Custom}}","{type, select, HEALTH {Intégration de la santé} NATIONAL_ID {Identité nationale} RECORD_SEARCH {Recherche d'enregistrements} other {Personnalisé}}"
integrations.type.api,Label for integration clients registered by the country configuration without a legacy system type,API integration,Intégration API
integrations.uniqueKeyDescription,Label for the unique key description,These unique keys will be required by the client integrating...,Ces clés uniques seront requises par l'interface du système
integrations.updatePermissionsMsg,Label for update permissions message,Permissions update successfully,Mise à jour des permissions avec succès
messages.emptyString,Empty string, ,
misc.createDescription,The description displayed while creating a PIN,Choose a PIN that doesn't have 4 repeating digits or sequential numbers,Choisissez un code PIN qui ne comporte pas 4 chiffres répétitifs ou des numéros séquentiels.
misc.createTitle,The title displayed while creating a PIN,Create a PIN,Créer un code PIN
misc.newPass.header,New Password header,Choose a new password,Choisissez un nouveau mot de passe
misc.newPass.instruction,New Password instruction,"Create a unique password - one that you don't use for other websites or applications. A secure and easy to remember passphrase could include three random words, while avoiding the use of personal info.","Créez un mot de passe unique, que vous n'utilisez pas pour d'autres sites web ou applications. Une phrase de passe sûre et facile à retenir pourrait inclure trois mots aléatoires, tout en évitant d'utiliser des informations personnelles."
misc.notif.draftsSaved,The message that appears in notification when save drafts button is clicked,Your draft has been saved,Votre brouillon a été enregistré
misc.notif.duplicateRecord,Label for when a duplicate record is detected when registering a record.,{trackingId} is a potential duplicate. Record is ready for review.,{trackingId} est un doublon potentiel. L'enregistrement est prêt à être examiné.
misc.notif.emailAllUsersError,Label for Email all users error toast,Only one email can be sent per day,Un seul e-mail peut être envoyé par jour
misc.notif.emailAllUsersSuccess,Label for Email all users success toast,Email sent to all users,Email envoyé à tous les utilisateurs
misc.notif.offlineError,The message that appears in notification when a new user creation fails in offline mode,Offline. Try again when reconnected,Hors ligne. Réessayez une fois reconnecté
misc.notif.onlineUserStatus,Label for online user status toast notification,You are back online,Vous êtes de nouveau en ligne
misc.notif.sorryError,The message that appears in notification when a new user creation fails,Sorry! Something went wrong,Désolé ! Quelque chose s'est mal passé
misc.notif.unassign,Label for unassigned toast notification,You were unassigned from {trackingId},Vous avez été désassigné de {trackingId}
misc.notif.updatePINSuccess,Label for update PIN success notification toast,Your pin has been successfully updated,Votre code a été mis à jour avec succès
misc.notif.userAuditSuccess,Label for user audit success notification,"{name} was {action, select, DEACTIVATE {deactivated} REACTIVATE {reactivated} other{deactivated}}","{name} était {action, select, DEACTIVATE {désactivé} REACTIVATE {réactivé} other{désactivé}}"
misc.notif.userFormSuccess,The message that appears in notification when a new user is created,New user created,Nouvel utilisateur créé
misc.notif.userFormUpdateSuccess,The message that appears in notification when user details have been updated,User details have been updated,Les détails de l'utilisateur ont été mis à jour
misc.pinMatchError,The error displayed if PINs don't match,PIN code did not match. Please try again.,Le code PIN ne correspond pas. Veuillez réessayer.
misc.pinSameDigitsError,The error displayed if PIN contains 4 same digits.,PIN cannot have same 4 digits,Le code PIN ne peut pas avoir les mêmes 4 chiffres
misc.pinSeqDigitsError,The error displayed if PIN contains sequential digits.,PIN cannot contain sequential digits,Le code PIN ne peut pas contenir de chiffres séquentiels
misc.reEnterDescription,,Let's make sure we collected your PIN correctly,Assurons-nous que nous avons recueilli votre code PIN correctement.
misc.reEnterTitle,The title displayed while creating a PIN,Re-enter your PIN,Saisissez à nouveau votre nouveau code PIN
modal.approveCorrection,The title for approve correction modal,Approve correction?,Approuver la correction ?
modal.rejectCorrection,The title for reject correction modal,Reject correction?,Rejeter la correction ?
navigation.analytic,Analytic Group,Analytics,Analytique
navigation.application,Application label in navigation,Application,Application
navigation.approvals,Sent for approval label in navigation,Sent for approval,Envoyé pour approbation
navigation.certificate,Certificates label in navigation,Certificates,Certificats
navigation.communications,Communications label in navigation,Communications,Communications
navigation.completenessRates,Completeness rates in navigation,Completeness rates,Taux de complétude
navigation.config,Config label in navigation,Configuration,Paramétrages
navigation.dashboard,Dashboard Section,Dashboard,Tableau de bord
navigation.declarationForms,Declaration forms label in navigation,Declaration forms,Formulaires de déclaration
navigation.emailAllUsers,Email all users label in navigation,Email all users,Envoyer un e-mail à tous les utilisateurs
navigation.informantNotification,Informant notifications label in navigation,Informant notifications,Notifications des informateurs
navigation.integration,Integration forms label in navigation,Integrations,Intégrations
navigation.myDrafts,My drafts label in navigation,My drafts,Mes brouillons
navigation.organisation,Organisations label in navigation,Organisation,Organisation
navigation.outbox,Label for navigation item outbox,Outbox,Boîte d'envoi
navigation.performance,Performance label in navigation,Performance,Performance
navigation.print,Ready to print label in navigation,Ready to print,Prêt à être imprimé
navigation.progress,In progress label in navigation,In progress,En cours
navigation.readyForReview,Ready for review label in navigation,Ready for review,Prêt pour examen
navigation.readyToIssue,Ready to issue label in navigation,Ready to issue,Prêts pour émession
navigation.report,Report Dashboard Section,Report,Rapport
navigation.reports,Reports label in navigation,Vital statistics,Statistiques vitales
navigation.requiresUpdate,Requires update label for registrar in navigation,Requires updates,Nécessite une mise à jour
navigation.sentForReview,Sent for review label in navigation,Sent for review,Envoyé pour révision
navigation.team,Team label in navigation,Team,Équipe
navigation.userroles,User roles label in navigation,User roles,Rôles des utilisateurs
navigation.waitingValidation,Waiting for validation label in navigation,In external validation,En attente de validation
number.twelve,Minimum length password,12,12
password.cases,Password validation,At least one upper and lower case character,Au moins un caractère majuscule et minuscule
password.label.confirm,Confirm password label,Confirm password,Confirmez le mot de passe
password.label.current,Current password label,Current password,Mot de passe actuel
password.label.new,New password label,New password,Nouveau mot de passe
password.match,Password validation,Passwords match,Les mots de passe correspondent
password.minLength,Password validation,{min} characters minimum,{min} caractères minimum
password.mismatch,Password validation,Passwords do not match,Les mots de passe ne correspondent pas
password.number,Password validation,At least one number,Au moins un chiffre
password.validation.msg,Password validation message,Password must have:,Le mot de passe doit avoir :
performance.registrationsListTable.locationColumn,Title for location column in the table,Location,Localisation
phone.digit,,10,10
phone.label.changeEmail,Change email address label,What is your new email?,Quelle est votre nouvelle adresse e-mail ?
phone.label.changeNumber,Change phone number label,Enter new number,Quel est votre nouveau numéro ?
phone.label.confirmation,Confirmation phone number message,A verification code has been sent to {num},Un SMS de confirmation a été envoyé à {num}.
phone.label.verify,Verify phone number label,Enter 6 digit verification code,Entrez le code de vérification à 6 chiffres
phone.start,Should starts with,0(4|5),0(4|5)
print.certificate.button.confirmPrint,The text for print button,"Yes, print certificate","Oui, imprimer le certificat"
print.certificate.button.makeCorrection,The label for correction button of print action,"No, make correction","Non, faites la correction"
print.certificate.certificatePreview,The title for certificate preview form,Certificate preview,Aperçu du certificat
print.certificate.collector.other,The label for select value when the collector of certificate is other person,Other,Autre
print.certificate.form.name,The title of review button in list expansion actions,Print,Imprimer
print.certificate.form.title,The title of review button in list expansion actions,Print certificate,Imprimer le certificat
print.certificate.onlineOnly,Print certificate online only message,Print certificate is an online only action. Please go online to print the certificate,L'impression du certificat est une action en ligne uniquement. Veuillez vous connecter pour imprimer le certificat.
print.certificate.review.modal.body.printAndIssue,Print certificate modal body text,This will generate a certified copy of the record for printing.,Ceci générera une copie certifiée du dossier à imprimer.
print.certificate.review.printAndIssueModalTitle,Print and issue certificate modal title text,Print certified copy?,Imprimer une copie certifiée ?
print.certificate.toast.message,Floating Toast message upon certificate ready to print,Certificate is ready to print,Le certificat est prêt à être imprimé
printAction.description,The description for print action,Please confirm that the informant has reviewed that the information on the certificate is correct and that it is ready to print.,Veuillez confirmer que l'informateur a vérifié que les informations figurant sur le certificat sont correctes et que celui-ci est prêt à être imprimé.
printAction.title,The title for print action,Print certificate,Imprimer le certificat
record-corrected.summary.section.title,Corrections section title,Correction(s),Correction(s)
recordAudit.noName,Label for name not available,No name provided,Aucun nom n'a été fourni
regHome.inProgress,The title of In progress,In progress,En cours
regHome.outbox.failed,Label for declaration status failed,Failed to send,Échec de l'envoi
regHome.outbox.retry,Label for Retry button in Outbox shown for records that failed to send,Retry,Réessayer
regHome.readyForReview,The title of ready for review,Ready for review,Prêt pour l'examen
regHome.readyToPrint,The title of ready to print tab,Ready to print,Prêt à imprimer
regHome.registrationNumber,The heading of registration no. column,Registration no.,N° d'enregistrement
regHome.workqueue.downloadDeclarationFailed,Label for declaration downloading failed,Failed to download record. Please try again,Échec du téléchargement de la déclaration. Veuillez réessayer
register.eventInfo.birth.listItem0,,I am here to start the birth registration process for you.,Je suis ici pour remplir la déclaration de naissance pour vous.
register.eventInfo.birth.listItem1,,You will receive an SMS to tell you when to visit the office to collect the certificate - Take your ID with you.,"Une fois que j'aurai rempli la déclaration, elle sera envoyée au bureau d'enregistrement pour examen."
register.eventInfo.birth.listItem2,,"Make sure you collect the certificate. A birth certificate is critical for this child, especially to make their life easy later on. It will help to access health services, school examinations and government benefits.",Attendez un SMS vous indiquant quand vous devez vous rendre au bureau pour retirer le certificat - Prenez votre carte d'identité avec vous.
register.eventInfo.death.listItem0,,I am here to start the death registration process for you.,Je suis ici pour remplir la déclaration de décès pour vous.
register.eventInfo.death.listItem1,,You will receive an SMS to tell you when to visit the office to collect the certificate - Take your ID with you.,"Une fois que j'aurai rempli la déclaration, elle sera envoyée au bureau d'enregistrement pour examen."
register.eventInfo.death.listItem2,,Make sure you collect the certificate. A death certificate is critical to support with inheritance claims and to resolve the affairs of the deceased e.g. closing bank accounts and settling loans.,Attendez un SMS vous indiquant quand vous devez vous rendre au bureau pour retirer le certificat - Prenez votre carte d'identité avec vous.
register.eventInfo.event.title,,"Introduce the {eventType, select, birth{birth} death{death} other{marriage}} registration process to the informant","Présentez le processus d'enregistrement des {eventType, select, birth{naissance} death{décès} other{mariage}} à l'informateur."
register.eventInfo.marriage.listItem0,,I am here to complete the marriage registration declaration for you. ,Je suis ici pour remplir la déclaration d'enregistrement du mariage pour vous.
register.eventInfo.marriage.listItem1,,"Once I complete the declaration, it will be sent to the registration office for review.","Une fois que j'aurai complété la déclaration, elle sera envoyée au bureau d'enregistrement pour examen."
register.eventInfo.marriage.listItem2,,Wait for an SMS to tell you when to visit the office to collect the certificate - Take your ID with you.,Attendez un SMS vous indiquant quand vous rendre au bureau pour retirer le certificat - Prenez votre pièce d'identité avec vous
register.form.modal.desc.saveDeclarationConfirm,Description for save declaration confirmation modal,All inputted data will be kept secure for future editing. Are you ready to save any changes to this declaration form?,Toutes les données saisies seront conservées en toute sécurité pour de futures modifications. Êtes-vous prêt à enregistrer les modifications apportées à ce formulaire de déclaration?
register.form.modal.description.deleteDeclarationConfirm,Description for delete declaration confirmation modal,Are you sure you want to delete this declaration?,Êtes-vous sûr de vouloir supprimer cette déclaration ?
register.form.modal.title.deleteDeclarationConfirm,Title for delete declaration confirmation modal,Delete draft?,Supprimer le brouillon?
register.form.modal.title.saveDeclarationConfirm,Title for save declaration confirmation modal,Save & exit?,Enregistrer et quitter?
register.form.required,Required field error message,This field is required,Ce champ est obligatoire
register.selectInformant.birthInformantTitle,Who is applying for birth registration,Informant type,Type d'informateur
register.selectInformant.deathInformantTitle,Who is applying for death registration,Informant type,Quel est le lien de parenté de l'informateur avec la personne décédée ?
register.selectInformant.marriageInformantTitle,Who is applying for marriage registration,Informant's details,Coordonnées de l'informateur
register.selectInformant.newBirthRegistration,The title that appears for new birth registrations,New birth declaration,Nouvelle déclaration de naissance
register.selectInformant.newDeathRegistration,The title that appears for new death registrations,New death declaration,Nouvelle déclaration de décès
register.selectInformant.parents,The description that appears when selecting the parent as informant,Mother & Father,Mère et père
register.selectVitalEvent.errorMessage,Error Message to show when no event is being selected,Please select the type of event,Veuillez sélectionner le type d'événement
register.selectVitalEvent.goToReviewButton,,Go to review,Aller à la révision
register.selectVitalEvent.registerNewEventHeader,The section heading on the page,What type of event do you want to declare?,What type of event do you want to declare?
register.selectVitalEvent.registerNewEventHeading,The section heading on the page,Event type,Quel type d'événement voulez-vous déclarer ?
register.selectVitalEvent.registerNewEventTitle,The title that appears on the select vital event page,New declaration,Nouvelle déclaration
rejectModal.sendForUpdate,The label for send For Update button of reject modal,Send For Update,Envoyer pour mise à jour
rejectModal.title,The title for reject modal,Reason for rejection?,Quelle mise à jour la déclaration nécessite-t-elle ?
reloadmodal.body,Body of reload modal,There’s a new version of {app_name} available. Please update to continue.,Une nouvelle version de {app_name} est disponible. Veuillez effectuer la mise à jour pour continuer.
reloadmodal.button.loginAgain,Label of log in again button after version update,Log in again,Se reconnecter
reloadmodal.button.update,Label of update button,Update,Mise à jour
reloadmodal.title,Title when update is available,Update available,Mise à jour disponible
review.annotations.title,Title for the annotations accordion section in review,Annotations,Annotations
review.declare.confirmModal.title,The title for review action modal when declaring,Declare event?,Déclarer l'événement?
review.declare.incomplete.confirmModal.title,The title for review action modal when declaring,Notify event?,Notifier l'événement?
review.documents.zeroDocumentsTextForAnySection,Zero documents text,No supporting documents,Aucune pièce justificative
review.error.unauthorized,The error message shown when a query fails,We are unable to display this page to you,Nous ne sommes pas en mesure de vous afficher cette page
review.form.title,Review form label for update action,Review form,Formulaire de révision
review.header.title.govtName,Header title that shows bgd govt name,Republic of Farajaland,République du Farajaland
review.inputs.supportingDocuments,Section heading title for supporting documents,Supporting documents,Documents justificatifs
review.register.confirmModal.title,The title for review action modal when registering,Register the {event}?,Enregistrer cet {event}?
review.signature.clear,Label for button that clear signature input,Clear,Supprimer
review.signature.delete,Label for button that deletes signature,Delete,Supprimer
review.signature.input.description,Description awknowledging the correctness of the declaration,"By signing this document with an electronic signature, I agree that such signature will be valid as handwritten signatures to the extent allowed by the laws of Farajaland.","En signant ce document avec une signature électronique, j'accepte que cette signature soit valable comme les signatures manuscrites dans la mesure où les lois du Farajaland le permettent."
review.signature.open,Label for button that opens the signature input,Sign,Signer
saveAndExit.desc.saveDeclarationConfirm,Description for save declaration confirmation modal,All inputted data will be kept secure for future editing. Are you ready to save any changes to this declaration form?,Toutes les données saisies seront conservées en toute sécurité pour de futures modifications. Êtes-vous prêt à enregistrer les modifications apportées à ce formulaire de déclaration?
saveAndExit.title.saveDeclarationConfirm,Title for save declaration confirmation modal,Save & exit?,Enregistrer et quitter?
search.advancedSearch.result.title,Advanced search result title,Search results ({count}),résultat de la recherche pour ({count})
search.noRecord,The no record text,"No records {slug, select, draft {in drafts} outbox {require processing} other {{title}}}","Aucun enregistrement {slug, select, draft {dans brouillons} outbox {à traiter} other {{title}}}"
search.noResult,The no result text,No result,Pas de résultats”
search.noResultFor,The no result text,No results for ”{param}”,Aucun résultat pour “{param}”
search.noResultForSearchTerm,The no result text,No results for “{searchTerm}”,Pas de résultats pour “{searchTerm}”
search.placeholder,Placeholder text of search input,Name of query,Nom de la requête
search.quickSearch.result.title,Quick search result title,Search result for “{searchTerm}”,résultat de la recherche pour “{searchTerm}”
searchField.indicators.clearButton,Clear button text,Clear,Effacer
searchField.indicators.clearModal.cancel,Cancel button for clear confirmation modal,Cancel,Annuler
searchField.indicators.clearModal.confirm,Confirm button for clear confirmation modal,Confirm,Confirmer
searchField.indicators.clearModal.description,Description for the clear confirmation modal,This will remove the current search results.,Cela supprimera les résultats de recherche actuels.
searchField.indicators.clearModal.title,Title for the clear confirmation modal,Clear search results?,Effacer les résultats de recherche ?
searchField.indicators.confirmButton,Confirm button text,Search,Rechercher
searchField.indicators.httpError,HTTP error indicator,"{statusCode, select, 408{Timed out} other{An error occurred while fetching data}}","{statusCode, select, 408{Délai d'attente dépassé} other{Une erreur s'est produite lors de la récupération des données}}"
searchField.indicators.loading,Loading indicator,Searching...,Recherche en cours...
searchField.indicators.noResultsError,No results found indicator,No record found,Aucun enregistrement trouvé
searchField.indicators.offline,Offline indicator,Search is unavailable while offline,La recherche n'est pas disponible hors ligne
searchField.indicators.ok,OK button text,Found {count} results,{count} résultats trouvés
settings.account.tile,Account header,Account,Compte
settings.changeAvatar,Avatar change modal header,Change profile image,Modifier l'image du profil
settings.changeAvatar.avatarProcessingError,Avatar processing error message,There was an error processing the image. Please try again.,Une erreur s'est produite lors du traitement de l'image. Veuillez réessayer.
settings.changeAvatar.changeImage,Change image label,Change,Modifier l'image
settings.changeAvatar.resizeAvatar,Avatar resize and position message,Resize and position the chosen image.,Redimensionnez et positionnez l'image choisie.
settings.changeLanguage,Change language title,Change language,Changer de langue
settings.changeLanguage.success,Change language success,Language updated to English,Langue mise à jour en Français
settings.changePassword,Password change modal header,Change password,Modifier le mot de passe
settings.changePhone,Change phone number title,Change phone number,Changer de numéro de téléphone
settings.message.changeLanguage,Change language message,Your prefered language that you want to use on OpenCRVS,Votre langue préférée que vous souhaitez utiliser sur OpenCRVS
settings.profile.tile,Profile header,Profile,Profil
settings.security.tile,Security header,Security,Sécurité
settings.system.tile,System header,System,Système
settings.title,Title of the settings page,Settings,Paramètres
settings.user.label.assignedOffice,Assigned office,Assigned office,Bureau assigné
settings.user.label.nameEN,,Full name,Nom anglais
settings.verifyPhone,Verify phone number title,Verify phone number,Vérifier le numéro de téléphone
sysAdHome.resendInvite,The label for menu option resend invitation,Resend invite,Renvoyer l'invitation
sysAdHome.resendInviteError,The label for error notification of resend invite,Invite could not be sent,L'invitation n'a pas pu être envoyée
sysAdHome.resendInviteSuccess,The label for success notification of resend invite,Invite sent,Invitation envoyée
sysAdHome.resentPasswordError,The label for error notification of reset password sms invite,Temporary password could not be sent,Le mot de passe temporaire n'a pas pu être envoyé
sysAdHome.resentPasswordSuccess,The label for success notification of reset password sms invite,Temporary password sent to {username},Mot de passe temporaire envoyé à {username}
sysAdHome.sendUsernameReminderInvite,The label for menu option to send username reminder,Send username reminder,Envoyer un rappel de nom d'utilisateur
sysAdHome.sendUsernameReminderInviteError,The label for error notification of send username reminder,Username reminder could not be sent,Le rappel du nom d'utilisateur n'a pas pu être envoyé
sysAdHome.sendUsernameReminderInviteModalMessage,Message for send username reminder,The user will receive a username reminder via an {deliveryMethod} sent to {recipient},L'utilisateur recevra un rappel de son nom d'utilisateur par un {deliveryMethod} envoyé à {recipient}.
sysAdHome.sendUsernameReminderInviteModalTitle,Title for send username reminder,Send username reminder?,Envoyer un rappel de nom d'utilisateur ?
sysAdHome.sendUsernameReminderInviteSuccess,The label for success notification of send username reminder,Username reminder sent to {name},Rappel de l'identifiant envoyé à {name}
sysAdHome.toggleActivateStatusError,The label for error notification when toggling user activate status,"Failed to update {name}'s account status to ""{status}""","Échec de la mise à jour du statut du compte de {name} en ""{status}"""
sysAdHome.toggleActivateStatusSuccess,The label for success notification when toggling user activate status,"Updated {name}'s account status to ""{status}""","Statut du compte de {name} mis à jour en ""{status}"""
sysAdHome.user.audit.deactivation.subtitle,The subtitle of user deactivation confirmation modal,This will revoke {name}'s ability to login and access the system. The account can be reactivated at a later date.,Cette mesure aura pour effet de retirer à {name} la possibilité de se connecter et d'accéder au système. Le compte peut être réactivé à une date ultérieure.
sysAdHome.user.audit.deactivation.title,The title of user deactivation confirmation modal,Deactivate {name}?,Désactiver {name}?
sysAdHome.user.audit.reactivation.subtitle,The subtitle of user reactivation confirmation modal,This will reactivate {name}'s ability to login and access the system.,Cela réactivera la capacité de {name} à se connecter et à accéder au système.
sysAdHome.user.audit.reactivation.title,The title of user reactivation confirmation modal,Reactivate {name}?,Réactiver {name}?
sysAdHome.user.deactivate,Label for toggle menu option deactivate,Deactivate,Désactiver
sysAdHome.user.header,Title for edit user details,Edit details,Modifier les détails
sysAdHome.user.reactivate,Label for toggle menu option reactivate,Reactivate,Réactiver
sysAdHome.user.resetPasswordModal.message,Message for reset password modal,The user will receive a temporary password via {deliveryMethod} sent to {recipient}. They will then be prompted to create a new password on successful login,L'utilisateur recevra un mot de passe temporaire par {deliveryMethod} envoyé à {recipient}. Il sera ensuite invité à créer un nouveau mot de passe après avoir réussi à se connecter.
